PF3D7_0404100	chr4	224779	231733
PF3D7_0420300	chr4	917990	928411
PF3D7_0516800	chr5	700120	707256
PF3D7_0604100	chr6	171301	177240
PF3D7_0611200	chr6	467481	468642
PF3D7_0613800	chr6	566139	578993
PF3D7_0730300	chr7	1297459	1301454
PF3D7_0802100	chr8	151808	159668
PF3D7_0934400	chr9	1349790	1350392
PF3D7_1007700	chr10	301126	305919
PF3D7_1107800	chr11	329867	335601
PF3D7_1115500	chr11	588169	589400
PF3D7_1139300	chr11	1556744	1565045
PF3D7_1143100	chr11	1720047	1724861
PF3D7_1222400	chr12	890581	898257
PF3D7_1222600	chr12	907203	914501
PF3D7_1239200	chr12	1634695	1642428
PF3D7_1317200	chr13	721961	729979
PF3D7_1342900	chr13	1682393	1693969
PF3D7_1408200	chr14	300725	305833
PF3D7_1429200	chr14	1144518	1148078
PF3D7_1449500	chr14	2031087	2033397
PF3D7_1456000	chr14	2296491	2300868
PF3D7_1466400	chr14	2714844	2717285
