chromosome	clusterName	start	end	numberOfAllGenes	numberOfPseudoGenes
1	1S	29510	95899	16	4
1	1E	495244	614893	11	2
2	2S	25232	67545	10	1
2	2E	860466	923648	12	2
3	3S	36965	68682	8	1
3	3E	1002872	1038254	8	2
4	4S	28706	93809	14	1
4	4U	127712	134468	1	1
4	4M1	155877	163724	3	2
4	4M2	545987	614069	8	2
4	4M3	935031	987447	7	2
4	4E	1099811	1180226	7	1
5	5S	20929	41403	6	3
5	5E	1322400	1342964	5	3
6	6S	653	52898	11	5
6	6M	723117	742406	4	1
6	6E	1313708	1382627	14	3
7	7S	20307	77055	12	3
7	7M	511950	610522	13	4
7	7E	1382410	1426234	11	2
8	8S	21361	71785	6	0
8	8M	431165	466567	5	0
8	8E	1310637	1443449	15	2
9	9S	20080	78874	15	1
9	9E	1474431	1503336	5	0
10	10S	28490	58980	7	1
10	10E	1591578	1649948	15	0
11	11S	24160	86418	12	2
11	11E	2006706	2035886	7	1
12	12S	16973	56805	6	0
12	12M1	764448	784830	4	3
12	12M2	1694150	1730007	4	1
12	12E	2188760	2248962	14	1
13	13S	21364	66816	10	1
13	13U	102842	109471	1	1
13	13E	2854544	2892340	10	2
14	14S	7208	28428	7	0
14	14E	3193285	3287003	8	0
